scope,position,n,ngram,count,percentage
c++,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Project,2,2.53
c++,prefix,4,Checkout Repository → Setup Runtime Environment → Free Disk Space (Ubuntu) → Build Project,1,1.27
c++,prefix,4,Checkout Repository → Install Project Dependencies → Download External Resources → Build Source Code,1,1.27
c++,prefix,4,Checkout Repository → Build Project → Check metadata → Upload Build Artifacts,1,1.27
c++,prefix,4,Checkout Repository → Install Project Dependencies → Run autogen → Configure,1,1.27
c++,prefix,4,Checkout Repository → Install Project Dependencies → Setup Runtime Environment → Generate Project Files,1,1.27
c++,prefix,4,Checkout Repository → Get cache key → Manage Build Cache → Install Project Dependencies,1,1.27
c++,prefix,4,Checkout Repository → Download JSON schema for labels configuration file → Install Project Dependencies → Verify Build Integrity,1,1.27
c++,prefix,4,Checkout Repository → Run Static Analysis → Setup Runtime Environment → Build Container Image,1,1.27
java,prefix,4,Checkout Repository → Setup Runtime Environment → Manage Build Cache → Build Project,4,5.56
java,prefix,4,Checkout Repository → Initialize Security Analysis → Build Project → Perform Security Analysis,2,2.78
java,prefix,4,Checkout Repository → Setup Runtime Environment → Build Project → Execute Tests,2,2.78
java,prefix,4,Checkout Repository → Download Build Artifacts → Setup Runtime Environment → Build Project,1,1.39
java,prefix,4,Checkout Repository → Setup Runtime Environment → Generate cache key → Manage Build Cache,1,1.39
java,prefix,4,Checkout Repository → Setup Runtime Environment → Configure Secure Access → Set up Gradle build,1,1.39
java,prefix,4,Setup Runtime Environment → Checkout Repository → Execute Tests → Capture Test Output,1,1.39
java,prefix,4,Checkout Repository → Publish Release → Extract latest vanilla sprites → Setup Runtime Environment,1,1.39
java,prefix,4,Checkout Repository → Setup Runtime Environment → Build Project → Run Static Analysis,1,1.39
java,prefix,4,Checkout Repository → Setup Runtime Environment → Initialize Security Analysis → Build Project,1,1.39
python,prefix,4,Checkout Repository → Initialize Security Analysis → Build Project → Perform Security Analysis,17,7.94
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Run Static Analysis,15,7.01
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Project,12,5.61
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Execute Tests,9,4.21
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Generate Test Coverage,5,2.34
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Manage Build Cache,5,2.34
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Documentation,4,1.87
python,prefix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Build Package,4,1.87
python,prefix,4,Checkout Repository → Setup Runtime Environment → Manage Build Cache → Install Project Dependencies,4,1.87
python,prefix,4,Checkout Repository → Export Environment Configuration → Setup Runtime Environment → Install Project Dependencies,3,1.4
global,suffix,4,Checkout Repository → Initialize Security Analysis → Build Project → Perform Security Analysis,19,5.21
global,suffix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Execute Tests,6,1.64
global,suffix,4,Setup Runtime Environment → Install Project Dependencies → Run Static Analysis → Execute Tests,4,1.1
global,suffix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Run Static Analysis,4,1.1
global,suffix,4,Setup Runtime Environment → Install Project Dependencies → Build Project → Upload Build Artifacts,4,1.1
global,suffix,4,Setup Runtime Environment → Install Project Dependencies → Build Package → Publish Package,3,0.82
global,suffix,4,Checkout Repository → Configure Cloud Resources → Generate Version Metadata → Build Project,3,0.82
global,suffix,4,Checkout Repository → Setup Runtime Environment → Generate Test Coverage → Upload Coverage,2,0.55
global,suffix,4,Switch Git Reference → Initialize Security Analysis → Build Project → Perform Security Analysis,2,0.55
global,suffix,4,Configure Build Profile → Build Static Site → Upload Build Artifacts → Deploy Application,2,0.55
c++,suffix,4,Build Project → Install CUDA ${{ matrix.cuda-version }} → Publish Conda package on organization channel → Publish Conda package on personal channel,1,1.27
c++,suffix,4,Download External Resources → Build Source Code → Build Project → Deploy Documentation,1,1.27
c++,suffix,4,Verify clean directory → Setup Runtime Environment → Download Build Artifacts → Publish Package,1,1.27
c++,suffix,4,Configure → Build Project → Build Source Code → Execute Automation Script,1,1.27
c++,suffix,4,Setup Runtime Environment → Generate Project Files → Setup Build Environment → Build Project,1,1.27
c++,suffix,4,Setup Build Environment → Execute Tests → Download Build Artifacts → Install External Tool,1,1.27
c++,suffix,4,Clean Project Artifacts → Merge label configuration files → Manage Labels → Sync labels,1,1.27
c++,suffix,4,Setup Build Environment → Build Source Code → Execute Tests → REUSE Compliance Check,1,1.27
c++,suffix,4,Export Environment Configuration → Download External Resources → Setup Build Environment → Build Source Code,1,1.27
c++,suffix,4,Upload Build Artifacts → Install External Tool → Manage Build Cache → Build Documentation,1,1.27
java,suffix,4,Checkout Repository → Initialize Security Analysis → Build Project → Perform Security Analysis,2,2.78
java,suffix,4,Checkout Repository → Setup Runtime Environment → Manage Build Cache → Build Project,2,2.78
java,suffix,4,Download Build Artifacts → Setup Runtime Environment → Build Project → Execute Tests,1,1.39
java,suffix,4,Generate cache key → Manage Build Cache → Download Build Artifacts → Build Project,1,1.39
java,suffix,4,Set up Gradle build → Build Project → Configure Build Profile → Upload Build Artifacts,1,1.39
java,suffix,4,Inspect Runtime Environment → Setup prerequisites → Build Container Image → Start Services,1,1.39
java,suffix,4,Extract latest vanilla sprites → Setup Runtime Environment → Build Project → Read errors,1,1.39
java,suffix,4,Setup Runtime Environment → Build Project → Run Static Analysis → Verify Build Integrity,1,1.39
java,suffix,4,Setup Runtime Environment → Initialize Security Analysis → Build Project → Perform Security Analysis,1,1.39
